Field,Type,Null,Key,Default,Extra
Row_ID,int,YES,,NULL,
Order_ID,varchar(20),YES,,NULL,
Order_Date,date,YES,,NULL,
Ship_Date,date,YES,,NULL,
Ship_Mode,varchar(50),YES,,NULL,
Customer_ID,varchar(20),YES,,NULL,
Customer_Name,varchar(100),YES,,NULL,
Segment,varchar(50),YES,,NULL,
Country,varchar(50),YES,,NULL,
City,varchar(50),YES,,NULL,
State,varchar(50),YES,,NULL,
Postal_Code,varchar(20),YES,,NULL,
Region,varchar(50),YES,,NULL,
Product_ID,varchar(20),YES,,NULL,
Category,varchar(50),YES,,NULL,
Sub_Category,varchar(50),YES,,NULL,
Product_Name,varchar(255),YES,,NULL,
Sales,"decimal(10,2)",YES,,NULL,
Quantity,int,YES,,NULL,
Discount,"decimal(4,2)",YES,,NULL,
Profit,"decimal(10,4)",YES,,NULL,
