Month,Monthly_Sales
2014-01,28473.80
2014-02,9039.84
2014-03,111382.08
2014-04,56590.70
2014-05,47296.56
2014-06,69190.28
2014-07,67892.74
2014-08,55818.94
2014-09,163554.68
2014-10,62906.74
2014-11,157257.48
2014-12,139091.28
2015-01,36348.16
2015-02,23902.80
2015-03,77452.52
2015-04,68390.50
2015-05,60263.44
2015-06,49594.62
2015-07,57530.64
2015-08,73796.64
2015-09,129191.74
2015-10,62809.80
2015-11,151945.02
2015-12,149839.04
2016-01,37085.04
2016-02,45957.64
2016-03,103431.72
2016-04,77500.08
2016-05,113975.50
2016-06,80689.08
2016-07,78523.98
2016-08,62230.70
2016-09,146820.18
2016-10,119375.60
2016-11,158824.06
2016-12,193998.14
2017-01,87942.74
2017-02,40602.24
2017-03,117744.70
2017-04,73043.04
2017-05,88522.16
2017-06,105963.46
2017-07,90528.86
2017-08,126241.70
2017-09,175733.32
2017-10,155553.92
2017-11,236895.62
2017-12,167658.62
